comparison_id,plan_id,role_code,role_title,requirement_id,python_expected_text,genai_generated_text,match_status,coverage_status,traceability_status,validation_status,disagreement_explanation
CMP-PLAN-ACA-EMP-004-011,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-053,Operations Specification Clause 53.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-012,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-083,Operations Specification Clause 83.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-013,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-113,Operations Specification Clause 113.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-014,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-143,Operations Specification Clause 143.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-015,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-FIN-001,AS9100D & ITAR Supplier Certification,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-016,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-HR-001,Code of Conduct Acknowledgment,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-017,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-043,Operations Specification Clause 43.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-018,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-073,Operations Specification Clause 73.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-019,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-103,Operations Specification Clause 103.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-020,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-133,Operations Specification Clause 133.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-021,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-163,Operations Specification Clause 163.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-001,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-SAF-001,5-Meter Propeller Clear Zone,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-002,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-HR-001,Code of Conduct Acknowledgment,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-003,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-SAF-002,ANSI Eye & Kevlar Cut Protection,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-004,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-039,Safety Specification Clause 39.4,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-AST-EMP-010-005,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-069,Safety Specification Clause 69.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-006,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-099,Safety Specification Clause 99.1,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-AST-EMP-010-007,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-129,Safety Specification Clause 129.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-008,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-159,Safety Specification Clause 159.7,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-AST-EMP-010-009,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-SAF-003,4-Hour ASAP Incident Reporting,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-010,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AIR-001,FAA Part 107 Remote Pilot License,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-011,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-029,Safety Specification Clause 29.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-012,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-059,Safety Specification Clause 59.6,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-AST-EMP-010-013,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-089,Safety Specification Clause 89.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-014,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-119,Safety Specification Clause 119.3,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-AST-EMP-010-015,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-149,Safety Specification Clause 149.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-016,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-QA-001,Dual Pre-Flight Inspection Sign-Off,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-017,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-OPS-002,30-Second Hard Geo-Fence FTS Override,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-018,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-049,Safety Specification Clause 49.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-019,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-079,Safety Specification Clause 79.8,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-AST-EMP-010-020,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-109,Safety Specification Clause 109.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-AST-EMP-010-021,PLAN-AST-EMP-010,AST,Aviation Safety & Training Officer,REQ-AERO-139,Safety Specification Clause 139.5,Omitted,OPTIONAL_OMITTED,Optional Uncovered,Content Supported Only,Info,
CMP-PLAN-CSL-EMP-008-001,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-OPS-001,Lost-Link 400ft Return-to-Home,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-002,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AIR-001,FAA Part 107 Remote Pilot License,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-003,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-027,Procurement Specification Clause 27.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-004,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-057,Procurement Specification Clause 57.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-005,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-087,Procurement Specification Clause 87.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-006,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-117,Procurement Specification Clause 117.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-007,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-147,Procurement Specification Clause 147.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-008,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-SAF-003,4-Hour ASAP Incident Reporting,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-009,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-HR-001,Code of Conduct Acknowledgment,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-010,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-047,Procurement Specification Clause 47.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-011,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-077,Procurement Specification Clause 77.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-012,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-107,Procurement Specification Clause 107.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-013,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-137,Procurement Specification Clause 137.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-014,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-HR-002,Maximum 2-Day Remote Work Allocation,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-015,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-SEC-001,Telemetry Encryption Mandate,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-016,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-037,Procurement Specification Clause 37.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-017,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-067,Procurement Specification Clause 67.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-018,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-097,Procurement Specification Clause 97.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-019,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-127,Procurement Specification Clause 127.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-CSL-EMP-008-020,PLAN-CSL-EMP-008,CSL,Customer Mission Support Lead,REQ-AERO-157,Procurement Specification Clause 157.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-001,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-FIN-001,AS9100D & ITAR Supplier Certification,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-002,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-038,HR Specification Clause 38.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-003,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-068,HR Specification Clause 68.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-004,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-098,HR Specification Clause 98.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-005,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-128,HR Specification Clause 128.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-006,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-158,HR Specification Clause 158.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-007,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-SEC-003,Flight Telemetry 7-Year Retention,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-008,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-HR-001,Code of Conduct Acknowledgment,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-009,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-028,HR Specification Clause 28.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-010,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-058,HR Specification Clause 58.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-011,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-088,HR Specification Clause 88.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-012,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-118,HR Specification Clause 118.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-013,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-148,HR Specification Clause 148.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-014,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-HR-002,Maximum 2-Day Remote Work Allocation,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-015,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-048,HR Specification Clause 48.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-016,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-078,HR Specification Clause 78.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-017,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-108,HR Specification Clause 108.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-DPS-EMP-009-018,PLAN-DPS-EMP-009,DPS,Defense Procurement Specialist,REQ-AERO-138,HR Specification Clause 138.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-001,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-FLD-001,LiPo Battery Storage in Fireproof Bunker,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-002,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-SAF-001,5-Meter Propeller Clear Zone,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-003,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-045,Security Specification Clause 45.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-004,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-075,Security Specification Clause 75.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-005,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-105,Security Specification Clause 105.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-006,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-135,Security Specification Clause 135.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-007,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-165,Security Specification Clause 165.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-008,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-SAF-002,ANSI Eye & Kevlar Cut Protection,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-009,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AIR-001,FAA Part 107 Remote Pilot License,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-010,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-035,Security Specification Clause 35.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-011,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-065,Security Specification Clause 65.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-012,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-095,Security Specification Clause 95.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-013,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-125,Security Specification Clause 125.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-014,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-155,Security Specification Clause 155.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-015,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-HR-001,Code of Conduct Acknowledgment,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-016,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-HR-003,Flight Operations On-Site Mandate,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-017,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-025,Security Specification Clause 25.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-018,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-055,Security Specification Clause 55.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-019,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-085,Security Specification Clause 85.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-020,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-115,Security Specification Clause 115.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FDE-EMP-006-021,PLAN-FDE-EMP-006,FDE,Field Deployment Engineer,REQ-AERO-145,Security Specification Clause 145.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-001,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-SEC-001,Telemetry Encryption Mandate,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-002,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-020,Engineering Specification Clause 20.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-003,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-050,Engineering Specification Clause 50.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-004,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-080,Engineering Specification Clause 80.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-005,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-110,Engineering Specification Clause 110.3,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-006,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-140,Engineering Specification Clause 140.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-007,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-SEC-002,Cryptographic Key Rotation,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-008,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-ENG-001,DO-178C Level B MC/DC Coverage,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-009,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-040,Engineering Specification Clause 40.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-010,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-070,Engineering Specification Clause 70.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-011,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-100,Engineering Specification Clause 100.2,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-012,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-130,Engineering Specification Clause 130.5,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-013,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-160,Engineering Specification Clause 160.8,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-014,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-OPS-001,Lost-Link 400ft Return-to-Home,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-015,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-HR-001,Code of Conduct Acknowledgment,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-016,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-030,Engineering Specification Clause 30.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-017,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-060,Engineering Specification Clause 60.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-018,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-090,Engineering Specification Clause 90.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-019,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-120,Engineering Specification Clause 120.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-020,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-AERO-150,Engineering Specification Clause 150.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-FSE-EMP-001-021,PLAN-FSE-EMP-001,FSE,Flight Software Engineer,REQ-SAF-001,5-Meter Propeller Clear Zone,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-HAS-EMP-007-001,PLAN-HAS-EMP-007,HAS,Hardware Assembly Specialist,REQ-HW-001,Cleanroom ESD Resistance Verification,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-HAS-EMP-007-002,PLAN-HAS-EMP-007,HAS,Hardware Assembly Specialist,REQ-AERO-026,Field Specification Clause 26.9,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
